地区,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
2011年,781,557,690,645,557,630,345,426,806,769,593,605,430,439,1115,764,658,738,1021,504,78,458,851,431,509,25,632,350,79,97,469
2012年,790,575,708,738,608,635,357,458,776,895,645,626,446,464,1165,782,676,727,1012,527,82,473,888,469,540,26,681,368,89,102,523
2013年,775,565,764,764,629,653,363,460,747,961,707,678,457,486,1199,803,728,752,1038,547,80,482,917,497,571,25,719,390,118,105,594
2014年,765,553,794,757,661,624,366,457,707,960,723,687,473,483,1212,805,742,754,1017,552,76,497,929,509,589,25,742,414,126,128,681
2015年,745,562,818,788,669,606,375,446,689,989,750,699,485,510,1258,820,759,764,1035,570,75,512,978,525,623,27,759,417,130,144,746
2016年,697,530,714,802,674,589,370,447,680,1013,763,659,499,440,1124,798,772,742,1079,572,53,511,977,554,660,26,790,419,138,144,786
2017年,664,482,699,861,613,637,360,482,664,1071,807,668,529,455,1125,731,768,736,1058,538,52,511,970,512,661,32,806,423,138,152,817
2018年,629,466,700,878,606,614,356,478,652,1065,813,688,532,464,1119,687,716,715,1058,542,53,492,952,485,601,34,746,416,138,153,822
2019年,656,476,788,1104,707,681,330,492,670,1210,832,768,503,532,1380,776,774,757,1181,589,56,548,1109,553,643,44,886,490,164,175,809
2020年,650,459,899,1169,747,731,338,514,632,1291,843,848,535,587,1614,838,798,759,1229,657,68,561,1239,595,666,56,943,539,174,201,892
